"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2024-01-04,NA,"D5","PPT",0
2024-01-04,NA,"D5","RS24h",5.2
2024-01-04,NA,"D5","VVM10",2.5
2024-01-04,NA,"D5","DVM10",262
2024-01-04,"22:51:00","D5","VVX10",7.3
2024-01-04,"22:51:00","D5","DVVX10",268
2024-01-04,NA,"X2","TM",12.5
2024-01-04,"12:09:00","X2","TX",16.3
2024-01-04,"07:43:00","X2","TN",9.3
2024-01-04,NA,"X2","HRM",83
2024-01-04,"21:44:00","X2","HRX",92
2024-01-04,"11:21:00","X2","HRN",68
2024-01-04,NA,"X4","TM",14.2
2024-01-04,"12:31:00","X4","TX",17.3
2024-01-04,"06:15:00","X4","TN",12.3
2024-01-04,NA,"X4","HRM",76
2024-01-04,"20:37:00","X4","HRX",94
2024-01-04,"00:00:00","X4","HRN",62
2024-01-04,NA,"X4","PM",1010.5
2024-01-04,"10:00:00","X4","PX",1014.5
2024-01-04,"23:49:00","X4","PN",1003.1
2024-01-04,NA,"X4","PPT",0
2024-01-04,NA,"X4","RS24h",6.6
2024-01-04,NA,"X4","VVM10",1
2024-01-04,NA,"X4","DVM10",173
2024-01-04,"23:48:00","X4","VVX10",4.1
2024-01-04,"23:48:00","X4","DVVX10",96
2024-01-04,NA,"X8","TM",13.1
2024-01-04,"11:49:00","X8","TX",17.8
2024-01-04,"08:00:00","X8","TN",10
2024-01-04,NA,"X8","HRM",84
2024-01-04,"20:00:00","X8","HRX",100
2024-01-04,"12:06:00","X8","HRN",63
2024-01-04,NA,"X8","PM",1004.8
2024-01-04,"09:44:00","X8","PX",1008.7
2024-01-04,"23:43:00","X8","PN",997.4
2024-01-04,NA,"X8","PPT",0
2024-01-04,NA,"X8","RS24h",4.9
2024-01-04,NA,"X8","VVM10",1.2
2024-01-04,NA,"X8","DVM10",312
2024-01-04,"12:01:00","X8","VVX10",3.8
2024-01-04,"12:01:00","X8","DVVX10",205
2024-01-05,NA,"D5","TM",9.3
2024-01-05,"00:14:00","D5","TX",11.6
2024-01-05,"23:56:00","D5","TN",5.5
2024-01-05,NA,"D5","HRM",89
2024-01-05,"22:00:00","D5","HRX",100
2024-01-05,"16:51:00","D5","HRN",71
2024-01-05,NA,"D5","PM",956
2024-01-05,"01:05:00","D5","PX",959.5
2024-01-05,"14:00:00","D5","PN",953.8
2024-01-05,NA,"D5","PPT",9.7
2024-01-05,NA,"D5","RS24h",2.8
2024-01-05,NA,"D5","VVM10",3.5
2024-01-05,NA,"D5","DVM10",315
2024-01-05,"23:45:00","D5","VVX10",10
2024-01-05,"23:45:00","D5","DVVX10",296
2024-01-05,NA,"X2","TM",11.7
2024-01-05,"13:30:00","X2","TX",13.7
2024-01-05,"22:05:00","X2","TN",8.7
2024-01-05,NA,"X2","HRM",85
2024-01-05,"04:39:00","X2","HRX",96
2024-01-05,"13:46:00","X2","HRN",65
2024-01-05,NA,"X4","TM",12.4
2024-01-05,"13:30:00","X4","TX",13.9
2024-01-05,"22:38:00","X4","TN",9.3
2024-01-05,NA,"X4","HRM",83
2024-01-05,"04:31:00","X4","HRX",100
2024-01-05,"13:57:00","X4","HRN",62
2024-01-05,NA,"X4","PM",1000.3
2024-01-05,"01:00:00","X4","PX",1003.8
2024-01-05,"14:02:00","X4","PN",998
2024-01-05,NA,"X4","PPT",8.2
2024-01-05,NA,"X4","RS24h",1.5
2024-01-05,NA,"X4","VVM10",1.3
2024-01-05,NA,"X4","DVM10",15
2024-01-05,"23:50:00","X4","VVX10",8.8
2024-01-05,"23:50:00","X4","DVVX10",306
2024-01-05,NA,"X8","TM",11.5
2024-01-05,"12:42:00","X8","TX",13.7
2024-01-05,"21:46:00","X8","TN",7.7
2024-01-05,NA,"X8","HRM",84
2024-01-05,"23:00:00","X8","HRX",100
2024-01-05,"17:31:00","X8","HRN",61
2024-01-05,NA,"X8","PM",994.5
2024-01-05,"01:03:00","X8","PX",998
2024-01-05,"13:53:00","X8","PN",992.2
2024-01-05,NA,"X8","PPT",6.6
